model,kw,n,bertscore_precision_src,nli_score,entail_mean,contra_mean,support_rate,contradiction_rate,qags_doc_f1_mean,qags_doc_f1_median,qags_doc_f1_prop_ge_05,qags_nq
bart-base_cs,KW,200,0.75035125,0.5624592200849223,0.7916063659621217,0.22914714587719934,0.8072261904761905,0.19264285714285717,0.00020467836257309941,0.0,0.0,6.205
bart-base_cs,noKW,200,0.68741554,0.48434711608609776,0.7276233068276169,0.24327619074151915,0.7409642857142857,0.20141666666666666,7.494698284171968e-05,0.0,0.0,6.015
bert2bert_cs,KW,200,0.15045644,-0.10990296988415744,0.14722349675284932,0.2571264666370068,0.07375,0.21875,0.0,0.0,0.0,0.13
bert2bert_cs,noKW,200,0.1813774,-0.06714711584553394,0.11844384634004866,0.1855909621855826,0.0725,0.14291666666666666,0.0,0.0,0.0,0.195
t5-base,zero-shot,200,0.6029692,0.5527324733119652,0.8311229012148881,0.27839042790292295,0.84875,0.24541666666666664,0.0025,0.0025,0.0025,1.35
t5-base_cs,KW,200,0.7219718,0.5732783985136823,0.8161978690783387,0.24291947056465626,0.82825,0.20441666666666666,0.0011409429601186567,0.0,0.000625,5.48
t5-base_cs,KWplus,200,0.7183441,0.5588740224198215,0.7988600130116054,0.23998599059178377,0.80425,0.20441666666666666,0.0007942143962848297,0.0,0.000625,5.48
t5-base_cs,KWprefix,200,0.73787534,0.5952779101616741,0.8337080338126994,0.2384301236510253,0.8384880952380952,0.19526190476190475,0.00031391214779372676,0.0,0.0,5.62
t5-base_cs,noKW,200,0.69347227,0.5327534235402563,0.7634160687132485,0.2306626451729923,0.7693333333333334,0.18516666666666665,0.00101583853238265,0.00020833333333333332,0.000625,5.225
