model,kw,n,rouge1_f,rouge2_f,rougeL_f,bleu
bart-base_cs,KW,200,0.2205015458431189,0.0925225733188511,0.15551858635465435,3.378064667700282
bart-base_cs,noKW,200,0.22064527976604328,0.0897715242207247,0.15618765572266186,3.3616593132535963
bert2bert_cs,KW,200,0.10397193242735173,0.005820528320710754,0.08217816601150787,0.9759107692979834
bert2bert_cs,noKW,200,0.10874919090274675,0.008420679052412405,0.08505556759023597,1.0327977996206992
t5-base,zero-shot,200,0.27254718706380016,0.10184865681532619,0.19758385188344782,4.85304331363841
t5-base_cs,KW,200,0.23967222988954387,0.09997475519059504,0.1772047936009898,4.04573288762431
t5-base_cs,KWplus,200,0.23678378071454387,0.09649034078185853,0.17083126787597738,3.7773099958979675
t5-base_cs,KWprefix,200,0.2392881020666894,0.10123063162107344,0.17245147214738268,3.9088505389118415
t5-base_cs,noKW,200,0.23558878604123684,0.09311689996587924,0.16969623292496006,3.7203955101257127
