model,kw,n,bertscore_precision_src,nli_score,entail_mean,contra_mean,support_rate,contradiction_rate,qags_doc_f1_mean,qags_doc_f1_median,qags_doc_f1_prop_ge_05,qags_nq
bart-base_cs,KW,200,0.7495032,0.5718089099916064,0.7874074972361033,0.21559858724449682,0.8061130952380953,0.17772619047619048,0.00028075457576376135,7.246376811594203e-05,0.0,6.005
bart-base_cs,noKW,200,0.6901248,0.4819883130525261,0.713834052739762,0.23184573968723585,0.7253095238095238,0.1965714285714286,9.820629462393088e-05,0.0,0.0,5.85
bert2bert_cs,KW,200,0.15071954,-0.06607400742462292,0.1459631230236361,0.21203713044825903,0.06708333333333333,0.16375,0.0,0.0,0.0,0.075
bert2bert_cs,noKW,200,0.18105608,-0.0435890863384969,0.11490319354695627,0.15849227988545317,0.05958333333333333,0.10541666666666666,0.0,0.0,0.0,0.16
t5-base,zero-shot,200,0.6053997,0.5419124931675227,0.804727935944548,0.26281544277702534,0.8105833333333333,0.21991666666666668,0.0027277782637856124,0.002785714285714286,0.0025,1.25
t5-base_cs,KW,200,0.718122,0.5640190509710277,0.7918251700183028,0.22780611904727507,0.8018333333333334,0.18358333333333335,0.001250901330117677,0.00014492753623188405,0.0008333333333333333,5.13
t5-base_cs,KWplus,200,0.710762,0.5556733921191384,0.7754760112165677,0.21980261909742935,0.78175,0.17316666666666666,0.0010559493183052,0.00035326086956521746,0.000625,5.285
t5-base_cs,KWprefix,200,0.73926044,0.593039364974715,0.8286510361758118,0.23561167120109686,0.8365714285714286,0.1858095238095238,0.000428117265996979,0.00014492753623188405,0.0,5.53
t5-base_cs,noKW,200,0.7055789,0.5336673783410064,0.7621869778699357,0.2285195995289292,0.7698690476190477,0.18396428571428572,0.0010227267269430735,0.00035326086956521746,0.000625,5.075
