model,kw,n,rouge1_f,rouge2_f,rougeL_f,bleu
bart-base_cs,KW,200,0.222186094358374,0.09578661465988199,0.16053508510579548,3.6038240111241002
bart-base_cs,noKW,200,0.21865023503899844,0.08666728995999154,0.15589236124543548,3.1872162156770942
bert2bert_cs,KW,200,0.10644064305202618,0.005486767389063514,0.08526693531324156,0.9766429284912435
bert2bert_cs,noKW,200,0.10984101020897542,0.007730013925597465,0.08557235767203053,1.0047188942015899
t5-base,zero-shot,200,0.27731142707616735,0.10393011938874422,0.20654089253264288,5.188894903327822
t5-base_cs,KW,200,0.24652742372541003,0.10362062737949186,0.18226385278141627,4.304233171270465
t5-base_cs,KWplus,200,0.24023542378418225,0.1022952446380125,0.1775888984877966,4.15382305490123
t5-base_cs,KWprefix,200,0.24098056196221415,0.10397684688712854,0.17764546193554792,4.207238596792123
t5-base_cs,noKW,200,0.24141041210171316,0.09835688380498833,0.1736052966943239,3.9751237572958042
