model,kw,bertscore_precision_src_mean,bertscore_precision_src_std,nli_score_mean,nli_score_std,entail_mean_mean,entail_mean_std,contra_mean_mean,contra_mean_std,support_rate_mean,support_rate_std,contradiction_rate_mean,contradiction_rate_std,qags_doc_f1_mean_mean,qags_doc_f1_mean_std,qags_doc_f1_median_mean,qags_doc_f1_median_std,qags_doc_f1_prop_ge_05_mean,qags_doc_f1_prop_ge_05_std,bertscore_precision_src_ci95,nli_score_ci95,entail_mean_ci95,contra_mean_ci95,support_rate_ci95,contradiction_rate_ci95,qags_doc_f1_mean_ci95,qags_doc_f1_median_ci95,qags_doc_f1_prop_ge_05_ci95
bart-base_cs,KW,0.7507755,0.0015291503,0.5660187010585083,0.005058288817357123,0.7943346314619474,0.00862135038966824,0.22831593040343914,0.012322779060231704,0.8124186507936507,0.00997311496045046,0.19396428571428573,0.016937514381515268,0.0003490158771423016,0.00018800422856984973,4.830917874396135e-05,4.183697602823375e-05,0.0,0.0,0.001730396321757874,0.00572399264426637,0.009755976377775972,0.013944537222874554,0.0112856419898673,0.019166601835639147,0.0002127468122682377,4.7342995169082125e-05,0.0
bart-base_cs,noKW,0.68717694,0.003074118,0.4831023549493206,0.0011848221712868834,0.7221018906242528,0.007293353557368414,0.23899953567493215,0.006234762043256579,0.7350833333333333,0.008522537481567059,0.20187301587301587,0.005543866671553132,0.00011880020917512456,5.701161611720018e-05,0.0,0.0,0.0,0.0,0.0034786919232451708,0.0013407525030872654,0.008253206493697807,0.0070552974262545875,0.009644159045956434,0.006273475713738289,6.451471694791422e-05,0.0,0.0
bert2bert_cs,KW,0.15045553,0.00026445952,-0.0781579234272083,0.02775183823870869,0.14987182817147307,0.0057134212066633095,0.2280297515986814,0.02523984978070812,0.07172222222222223,0.004027969344103436,0.18019444444444443,0.03351008692805685,0.0,0.0,0.0,0.0,0.0,0.0,0.00029926412188333306,0.03140416130414581,0.006465344732455126,0.028561578767787206,0.00455807640280713,0.037920233108623504,0.0,0.0,0.0
bert2bert_cs,noKW,0.17950912,0.002962055,-0.055856479851523345,0.011809349262420114,0.1166174352977517,0.0017729895692798676,0.17247391514927504,0.01357001400895387,0.06763888888888887,0.007025911038856523,0.12801388888888887,0.01989889083545818,0.0,0.0,0.0,0.0,0.0,0.0,0.003351880679887757,0.013363536712200618,0.002006326569984492,0.015355916432313961,0.007950566793988907,0.022517714761636446,0.0,0.0,0.0
t5-base,zero-shot,0.60793525,0.006609212,0.550839923024307,0.008147707683490626,0.8256248075523343,0.018762071302512076,0.27478488452802735,0.010635371994075217,0.8358055555555556,0.021845628429539004,0.23938888888888887,0.01726636368245537,0.002651852175857075,0.00013150784191216894,0.0026904761904761906,0.00016495721976846458,0.0025,0.0,0.007479027601673601,0.009219999199709682,0.021231282357438194,0.012035056372073822,0.024720655730645337,0.019538729851183514,0.00014881513233993342,0.00018666666666666674,0.0
t5-base_cs,KW,0.71735877,0.0050382074,0.5701755807299131,0.005331767703974269,0.80433480692385,0.012199207312333836,0.23415922619393678,0.007838946404560083,0.8154166666666667,0.01322429372195146,0.19230555555555554,0.010822216518364904,0.001072194350020912,0.00022124288151733872,9.66183574879227e-05,8.36739520564675e-05,0.0007638888888888889,0.00012028130608117197,0.0057012683777536936,0.006033463137526315,0.013804702626324912,0.008870602920998203,0.01496469709881422,0.012246490855408533,0.00025035988891263503,9.468599033816425e-05,0.00013611111111111105
t5-base_cs,KWplus,0.71295184,0.0046972367,0.555982226384372,0.002750414007056189,0.7878980954628707,0.011760184950760548,0.23191586907849868,0.01068186720920247,0.7944444444444444,0.01152483228768476,0.18855555555555556,0.015630350935611485,0.0008844733990983523,0.00014857130605397048,0.0001660628019323672,0.0001775762796199591,0.0006944444444444445,0.000120281306081172,0.005315423709330605,0.003112386444019307,0.013307902056201184,0.012087670661014533,0.013041575446373722,0.01768740714759906,0.00016812425974646372,0.00020094647716694026,0.00013611111111111105
t5-base_cs,KWprefix,0.7406509,0.0036737353,0.5936357205249785,0.0014398256285994818,0.8364534640680722,0.009478200773449488,0.24281774354309382,0.010138845756140078,0.8421825396825398,0.008115628498516037,0.20051190476190475,0.0179139611942455,0.0005045033427512332,0.0002381561461813366,9.66183574879227e-05,8.36739520564675e-05,0.0002777777777777778,0.0004811252243246881,0.00415722311819059,0.0016293160799457447,0.010725593865249386,0.01147318404009595,0.009183698184592002,0.020271555422790303,0.00026949904960963875,9.468599033816425e-05,0.0005444444444444444
t5-base_cs,noKW,0.70033866,0.006214976,0.5322188685966728,0.001777143075782359,0.7647376435977374,0.0034093036818216697,0.23251877500106455,0.005182818854360412,0.7696507936507938,0.00028129854918168307,0.18882142857142856,0.0073960004053180576,0.0009213410262352573,0.00016967479144524086,0.000304951690821256,8.367395205646751e-05,0.0006547619047619048,5.1549131177645146e-05,0.007032907235228567,0.002011026705055197,0.0038579903009598724,0.005864911647023067,0.00031831927446168397,0.008369362336876449,0.0001920051015705827,9.468599033816428e-05,5.8333333333333326e-05
