model,kw,n,bertscore_precision_src,nli_score,entail_mean,contra_mean,support_rate,contradiction_rate,qags_doc_f1_mean,qags_doc_f1_median,qags_doc_f1_prop_ge_05,qags_nq
bart-base_cs,KW,200,0.7524719,0.563787973098996,0.8039900311876172,0.24020205808862133,0.8239166666666666,0.21152380952380953,0.000561614693090044,7.246376811594203e-05,0.0,5.975
bart-base_cs,noKW,200,0.6839905,0.4829716357093379,0.7248483123053794,0.24187667659604145,0.7389761904761905,0.2076309523809524,0.00018324735005972314,0.0,0.0,5.675
bert2bert_cs,KW,200,0.15019062,-0.05849679297284456,0.1564288647379338,0.2149256577107784,0.07433333333333333,0.15808333333333333,0.0,0.0,0.0,0.09
bert2bert_cs,noKW,200,0.17609386,-0.05683323737053919,0.11650526600625018,0.17333850337678935,0.07083333333333333,0.13570833333333332,0.0,0.0,0.0,0.205
t5-base,zero-shot,200,0.6154368,0.5578748025934328,0.8410235854975666,0.28314878290413376,0.8480833333333334,0.2528333333333333,0.0027277782637856124,0.002785714285714286,0.0025,1.38
t5-base_cs,KW,200,0.7119825,0.5732292927050294,0.8049813816749084,0.23175208896987898,0.8161666666666666,0.18891666666666665,0.0008247387598264023,0.00014492753623188405,0.0008333333333333333,5.265
t5-base_cs,KWplus,200,0.7097493,0.553399264614156,0.7893582621604388,0.23595899754628288,0.7973333333333333,0.18808333333333332,0.0008032564827050274,0.00014492753623188405,0.0008333333333333333,5.335
t5-base_cs,KWprefix,200,0.7448169,0.5925898864385464,0.8470013222157057,0.2544114357771593,0.8514880952380952,0.2204642857142857,0.0007714806144629939,0.00014492753623188405,0.0008333333333333333,5.53
t5-base_cs,noKW,200,0.70196474,0.5302358039087558,0.7686098842100278,0.23837408030127213,0.7697499999999999,0.19733333333333333,0.0007254578193800484,0.00035326086956521735,0.0007142857142857143,5.1
